videos	encode	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
2	golf-4M.yuv	4	4	3	4	5	3	4	4	3	3	4	4	4	3	5	4	3	3	5	4	4	5	5	3	4	4	4	4
2	golf-6M.yuv	3	4	4	5	4	5	4	4	4	4	4	1	4	5	5	4	4	5	5	4	3	5	4	4	4	5	5	5
3	show.yuv	3	4	5	3	3	4	5	3	4	4	5	4	3	4	4	4	4	5	4	4	3	4	5	4	3	4	4	4
3	show_2M.yuv	3	3	3	2	3	1	2	2	2	2	2	2	3	2	1	2	1	2	3	3	3	1	2	1	1	3	3	3
3	show_3M.yuv	2	3	4	3	3	2	3	2	3	3	3	2	2	4	3	2	2	3	4	3	4	3	4	1	1	3	5	4
3	show_4M.yuv	3	3	4	2	4	3	3	4	4	3	5	3	4	5	2	2	3	4	4	4	4	3	4	2	3	4	5	4
3	show_8M.yuv	3	5	4	3	3	5	5	4	3	4	4	3	5	5	5	3	3	3	5	3	3	4	4	4	4	4	5	4
3	show_10M.yuv	4	5	5	4	3	4	4	4	4	4	4	4	3	5	4	4	3	3	5	4	4	4	5	5	4	4	5	4
3	show_14M.yuv	4	4	5	3	3	5	4	4	3	3	5	3	3	5	4	4	4	4	5	3	3	4	4	5	3	4	3	4
3	show_22M.yuv	2	4	4	4	4	3	4	3	3	4	5	3	3	5	3	5	3	4	4	4	3	5	3	5	4	4	4	4
4	standing.yuv	5	4	5	2	4	3	5	5	4	3	5	4	3	5	4	4	5	5	4	3	3	4	5	3	4	3	5	5
4	standing_0-75M.yuv	2	2	3	3	3	1	3	2	2	3	2	2	2	2	2	2	1	2	2	4	3	2	2	1	1	4	2	4
4	standing_1-25M.yuv	2	4	4	4	3	2	4	4	2	3	2	2	2	3	4	2	2	4	4	4	3	4	3	3	2	4	3	3
4	standing_2M.yuv	4	4	5	4	3	3	4	3	3	4	2	4	4	4	4	4	2	4	4	3	5	4	4	3	5	4	4	5
4	standing_3M.yuv	5	5	5	4	4	4	4	5	4	4	4	4	3	5	5	3	3	5	5	4	3	5	4	4	3	3	5	4
4	standing_5M.yuv	4	4	4	3	4	4	5	4	3	5	4	4	3	5	5	4	4	5	4	4	4	4	4	5	4	4	5	5
4	standing_6M.yuv	4	4	5	3	4	3	5	5	3	4	3	4	3	5	4	4	4	5	5	5	4	5	4	5	3	3	4	5
4	standing_8M.yuv	4	4	5	3	3	4	5	4	4	4	5	4	3	5	4	4	3	5	4	4	5	5	4	5	5	4	5	5
5	concert.yuv	5	5	4	2	3	3	5	4	3	3	5	4	4	4	3	5	3	5	5	3	4	5	5	3	4	3	5	5
5	concert-4M.yuv	3	3	3	2	2	2	3	3	2	3	2	3	3	3	3	2	2	3	4	4	3	3	3	1	2	4	3	4
5	concert-8M.yuv	3	4	3	3	4	5	4	4	3	4	4	3	3	5	3	3	4	4	5	4	4	4	4	3	3	4	4	3
5	concert-10M.yuv	3	3	5	3	4	3	4	3	2	3	4	4	3	4	4	4	3	4	4	2	3	4	5	3	2	3	3	5
5	concert-14M.yuv	4	4	4	3	4	4	4	3	2	3	5	4	4	5	4	3	3	4	5	2	5	4	3	2	4	4	5	4
5	concert-18M.yuv	4	5	4	3	4	3	5	3	2	3	5	3	4	5	4	4	3	4	4	3	4	5	5	4	4	3	4	4
5	concert-24M.yuv	4	4	5	3	4	4	4	4	3	4	5	4	5	5	4	4	4	5	5	4	4	4	4	4	4	4	5	5
5	concert-30M.yuv	5	5	5	3	4	4	5	4	3	4	5	4	3	5	4	4	3	4	5	3	3	4	4	4	4	2	4	5
6	foot.yuv	5	5	4	3	4	4	5	4	4	3	5	4	5	3	4	5	4	5	5	4	4	4	5	2	4	4	5	4
6	foot-4M.yuv	2	2	3	3	3	1	3	3	1	2	2	2	2	1	2	2	1	2	3	3	2	3	2	2	1	3	3	3
6	foot-6M.yuv	2	3	3	2	2	2	3	3	2	2	2	2	3	4	4	2	1	3	3	4	4	3	3	2	1	3	3	3
6	foot-10M.yuv	3	4	4	4	4	2	5	3	2	4	3	5	3	3	4	2	2	4	4	3	3	4	3	4	2	4	4	4
6	foot-14M.yuv	4	4	4	3	5	4	4	4	4	4	5	4	3	3	4	4	2	4	4	4	4	5	4	3	4	4	5	4
6	foot-18M.yuv	4	3	5	4	4	4	5	3	3	5	5	4	3	3	5	4	3	5	5	4	4	4	4	5	4	4	5	4
6	foot-22M.yuv	4	5	5	4	4	4	4	3	3	4	5	2	3	3	5	4	4	5	5	4	3	5	4	2	2	4	5	4
6	foot-26M.yuv	4	4	4	4	4	5	4	3	4	4	5	4	3	4	5	4	3	5	5	4	4	4	4	5	3	4	5	4
7	movie.yuv	4	5	5	4	4	4	5	4	5	4	5	4	5	5	5	5	5	5	4	3	1	5	5	2	5	5	4	5
7	movie_2-5M.yuv	2	3	3	3	3	2	3	2	2	2	2	2	3	3	3	2	1	3	4	2	3	4	3	2	1	3	3	2
7	movie_4M.yuv	3	4	4	4	3	2	3	5	2	3	2	2	5	3	3	2	2	4	4	4	4	5	3	5	3	4	4	4
7	movie_7M.yuv	4	5	5	4	4	4	4	4	2	4	4	3	5	5	4	3	3	4	5	5	4	5	5	3	2	4	5	5
7	movie_8M.yuv	4	4	5	4	4	3	5	3	3	3	4	3	4	4	5	4	4	5	5	3	3	5	4	3	4	4	5	4
7	movie_9M.yuv	3	4	4	4	4	5	4	4	3	4	4	3	5	5	5	4	4	5	5	5	4	5	5	5	3	4	4	4
7	movie_10M.yuv	4	5	4	4	5	4	5	4	4	4	4	4	5	5	5	3	4	5	5	2	4	5	5	5	5	4	5	4
7	movie_14M.yuv	4	5	4	4	4	5	5	5	4	5	5	4	5	5	5	5	3	5	5	4	3	5	5	4	3	4	5	5
8	voile.yuv	5	4	5	4	5	4	5	4	4	4	5	4	4	5	5	3	5	5	5	5	4	4	4	5	5	4	5	4
8	voile_2-5M.yuv	1	1	2	2	2	1	2	2	1	3	1	2	1	2	2	1	1	2	3	2	2	1	1	1	1	3	2	1
8	voile_4M.yuv	2	3	3	3	3	2	3	4	2	2	2	2	2	2	5	2	1	2	4	3	2	3	2	1	1	3	4	2
8	voile_6M.yuv	4	2	4	4	4	2	4	4	2	4	2	3	2	4	5	3	2	3	4	5	3	5	3	2	3	4	4	3
8	voile_8M.yuv	4	3	4	4	4	4	4	3	2	4	4	3	3	5	5	3	2	3	5	4	3	4	4	2	2	3	4	3
8	voile_9M.yuv	4	4	4	4	4	4	5	4	4	4	4	3	4	4	5	3	2	4	5	3	4	4	4	3	4	4	5	4
8	voile_11M.yuv	4	4	5	4	4	4	5	4	3	4	4	4	4	5	5	3	4	4	5	4	4	5	5	5	4	4	3	4
8	voile_12M.yuv	4	3	5	4	4	5	5	4	3	4	5	4	3	5	5	4	4	4	5	4	4	4	4	4	3	4	4	4
9	above_marathon_250.yuv	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	4	5	5	4	5	5	5	5
9	above_marathon_298-5M.yuv	2	1	1	1	1	1	1	2	1	2	1	1	1	2	1	2	1	2	2	4	2	2	1	1	1	2	2	2
9	above_marathon_298-8M.yuv	2	3	4	3	3	1	3	3	2	2	2	2	2	3	4	2	2	3	3	3	2	4	3	1	1	3	3	2
9	above_marathon_298-10M.yuv	2	3	3	3	4	2	3	3	2	4	2	2	3	4	4	2	2	4	4	4	3	3	3	2	2	4	3	3
9	above_marathon_298-12M.yuv	3	3	5	4	3	2	3	3	2	3	4	3	3	4	4	3	2	4	4	3	4	5	4	2	4	4	3	3
9	above_marathon_298-16M.yuv	4	4	4	4	5	3	4	4	2	3	3	4	4	5	5	3	3	4	5	4	3	5	4	5	4	4	4	3
9	above_marathon_298-24M.yuv	5	3	5	4	5	4	5	5	3	5	5	1	5	5	5	4	4	5	5	5	5	5	5	5	5	5	5	5
9	above_marathon_298-32M.yuv	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	4	5	5	5	5	4	5	5	5	4	5	5	4
10	captain_250.yuv	4	4	5	5	4	4	4	5	4	4	5	5	5	5	4	4	4	4	5	4	5	4	5	5	3	5	5	4
10	captain_298-1M.yuv	2	1	2	1	2	1	1	2	1	2	1	2	1	1	2	2	1	2	2	3	3	1	1	1	1	1	1	1
10	captain_298-3M.yuv	3	4	4	4	2	2	3	3	3	3	2	2	3	4	5	3	3	2	4	3	4	4	3	2	4	4	3	3
10	captain_298-5M.yuv	4	3	4	4	4	3	5	5	3	4	3	4	4	4	5	2	4	3	4	4	3	5	4	3	4	4	5	5
10	captain_298-6M.yuv	3	4	5	4	4	3	4	4	4	3	4	5	4	4	5	2	3	3	5	4	4	5	4	4	3	4	4	4
10	captain_298-8M.yuv	4	4	4	4	3	3	4	4	4	4	5	5	5	5	5	4	3	5	5	5	4	4	5	4	5	4	4	5
10	captain_298-12M.yuv	5	4	5	4	4	4	5	4	4	5	2	5	4	5	5	3	3	5	5	4	5	5	4	4	4	4	5	4
10	captain_298-18M.yuv	4	4	5	4	4	4	4	5	4	5	5	4	5	5	5	4	3	5	5	4	4	5	5	5	4	5	5	4
11	dance_in_the_woods_250.yuv	2	3	4	4	4	5	5	4	4	3	5	4	4	5	5	4	4	5	5	5	4	4	5	5	4	4	5	5
11	dance_in_the_woods_298-3M.yuv	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2	2	3	1	2	2	1	1	1	1	2
11	dance_in_the_woods_298-5M.yuv	2	3	3	2	3	2	3	3	2	2	3	2	2	2	4	3	2	3	3	3	3	5	3	2	2	2	2	2
11	dance_in_the_woods_298-6M.yuv	3	2	3	3	3	2	4	4	2	2	2	3	3	3	4	3	2	3	4	3	2	4	3	2	1	3	3	4
11	dance_in_the_woods_298-8M.yuv	3	3	3	4	3	3	4	3	2	3	3	3	3	3	4	3	3	4	4	2	3	5	3	3	4	3	3	4
11	dance_in_the_woods_298-10M.yuv	3	4	3	3	4	4	4	4	3	4	5	3	2	2	5	4	2	5	5	3	3	4	4	5	4	3	4	4
11	dance_in_the_woods_298-14M.yuv	3	3	4	4	4	4	4	4	4	4	5	4	4	5	5	4	3	5	5	3	4	4	4	4	3	4	5	4
11	dance_in_the_woods_298-18M.yuv	4	3	4	4	4	4	5	4	4	3	5	4	4	4	4	4	4	4	5	3	5	4	4	5	3	4	4	4
12	duck_fly_250.yuv	3	5	5	5	4	4	4	5	5	5	5	5	4	5	5	5	5	4	5	5	4	5	5	5	4	5	5	4
12	duck_fly_298-4M.yuv	1	2	2	1	2	1	2	3	2	2	2	2	1	2	2	2	1	2	3	3	5	2	1	1	1	2	2	2
12	duck_fly_298-6M.yuv	2	2	4	2	2	4	2	4	2	2	3	2	2	4	4	1	2	2	3	3	3	3	1	1	2	2	3	3
12	duck_fly_298-8M.yuv	3	5	4	3	2	3	3	5	2	4	4	4	2	4	4	1	2	3	4	4	3	4	3	2	3	3	2	2
12	duck_fly_298-12M.yuv	4	4	4	4	3	3	4	5	3	3	5	5	3	4	4	1	3	3	4	4	5	5	2	3	5	4	5	4
12	duck_fly_298-16M.yuv	3	4	4	4	5	4	5	5	4	5	4	2	4	4	4	2	4	4	5	4	4	5	4	4	3	3	4	4
12	duck_fly_298-20M.yuv	4	4	5	4	4	4	4	5	4	4	5	5	4	5	5	3	4	4	5	4	2	5	4	3	5	4	3	5
12	duck_fly_298-32M.yuv	4	5	5	5	5	5	5	4	4	5	5	4	4	5	5	3	3	4	4	5	5	5	5	5	4	4	5	5
13	fountain_man_250.yuv	5	5	5	5	5	5	5	4	5	5	5	4	5	5	5	5	3	5	5	4	2	5	5	3	4	4	4	4
13	fountain_man_298-1M.yuv	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1
13	fountain_man_298-2M.yuv	2	2	4	1	2	1	2	3	1	2	1	1	2	2	2	2	1	3	2	3	3	5	2	1	1	1	2	2
13	fountain_man_298-5M.yuv	2	5	5	4	3	4	4	5	2	3	3	3	4	4	5	3	2	4	4	4	4	5	3	2	4	3	3	3
13	fountain_man_298-8M.yuv	4	4	4	4	4	4	4	5	2	4	3	5	5	5	5	3	3	5	4	4	4	5	4	3	4	3	4	4
13	fountain_man_298-9M.yuv	4	4	4	5	3	3	5	4	4	4	5	4	4	5	5	2	3	3	4	2	4	4	4	3	3	3	4	5
13	fountain_man_298-12M.yuv	4	4	4	5	3	4	3	4	4	3	4	5	5	5	5	2	4	4	4	4	4	5	5	2	3	4	4	5
13	fountain_man_298-20M.yuv	3	5	5	5	4	5	4	4	4	4	4	4	5	5	4	4	4	5	5	4	4	5	5	5	4	3	4	5
14	group_disorder_250.yuv	5	4	5	4	4	3	5	4	4	3	4	4	4	5	5	3	5	4	5	4	4	5	4	4	4	5	5	4
14	group_disorder_298-2M.yuv	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
14	group_disorder_298-4M.yuv	2	2	3	2	3	1	3	3	2	2	2	2	2	3	2	2	1	3	4	3	3	5	3	1	2	3	3	3
14	group_disorder_298-7M.yuv	3	4	4	3	4	5	4	5	2	3	5	2	3	3	5	3	2	4	4	5	3	5	4	2	3	4	3	3
14	group_disorder_298-8M.yuv	4	2	4	3	3	2	5	4	2	4	3	3	3	5	5	3	3	5	4	5	3	5	4	2	3	4	4	2
14	group_disorder_298-12M.yuv	4	4	5	4	4	4	5	4	2	3	4	3	5	4	5	4	2	5	5	4	4	5	4	4	4	4	5	4
14	group_disorder_298-16M.yuv	3	4	5	4	4	4	4	5	3	4	4	4	4	5	5	4	3	5	5	4	4	4	5	5	3	4	5	4
14	group_disorder_298-20M.yuv	5	5	5	4	5	5	5	5	4	5	5	3	5	5	5	4	4	4	5	5	3	5	4	4	4	4	5	5
15	inside_marathon_250.yuv	4	4	5	4	4	4	4	4	4	5	5	4	4	4	4	4	4	5	5	4	3	4	5	4	2	3	4	4
15	inside_marathon_298-3M.yuv	1	1	2	1	1	1	2	2	1	2	1	1	1	2	2	1	1	2	2	3	1	2	1	1	1	2	1	1
15	inside_marathon_298-4M.yuv	1	2	3	2	2	1	2	3	1	2	2	1	1	1	3	2	2	2	3	3	1	2	2	1	1	2	2	2
15	inside_marathon_298-6M.yuv	3	2	3	4	2	2	3	4	1	4	3	2	1	3	3	2	2	4	3	4	2	3	4	2	1	3	2	2
15	inside_marathon_298-8M.yuv	3	3	3	4	4	2	3	3	2	3	3	2	2	3	4	3	3	4	4	3	2	4	4	2	2	3	3	3
15	inside_marathon_298-10M.yuv	3	3	3	4	3	4	4	4	2	5	5	2	3	2	4	3	3	5	5	3	4	4	3	2	2	4	5	4
15	inside_marathon_298-14M.yuv	3	3	4	4	3	4	4	4	2	5	4	3	3	4	3	4	4	4	5	4	3	5	5	3	1	4	5	3
15	inside_marathon_298-16M.yuv	4	3	3	4	3	2	5	4	3	4	5	3	3	3	5	4	5	5	5	4	5	4	3	4	3	3	5	4
16	mobcal.yuv	5	4	5	5	4	4	5	4	5	4	5	5	4	5	5	5	4	5	5	4	4	5	5	4	3	5	5	5
16	mobcal-2_25M.yuv	2	3	2	3	2	1	2	2	2	2	2	2	2	2	2	2	1	1	4	2	1	3	2	1	1	3	3	2
16	mobcal-2_5M.yuv	2	2	3	2	2	2	2	3	2	2	2	3	3	4	2	2	2	3	4	3	4	3	3	2	1	4	3	3
16	mobcal-3_15M.yuv	2	3	3	3	2	2	3	3	2	3	5	3	2	4	2	2	2	3	4	3	3	4	3	2	1	4	3	2
16	mobcal-4M.yuv	3	4	5	4	3	5	4	3	2	3	4	4	5	5	4	2	2	4	4	4	4	4	4	2	1	4	4	5
16	mobcal-5M.yuv	3	5	5	5	4	4	5	4	2	3	3	4	3	5	4	2	3	5	5	3	2	4	4	4	4	4	4	4
16	mobcal-7M.yuv	3	4	5	3	3	5	5	3	2	3	5	4	5	5	3	3	3	5	4	4	4	5	5	2	1	5	5	5
16	mobcal-10M.yuv	4	4	5	4	4	5	5	5	4	4	5	5	5	5	4	4	3	5	5	4	4	4	5	3	1	5	5	5
17	new_parkrun_250.yuv	4	4	4	4	3	5	5	4	3	4	4	4	5	5	4	5	4	5	5	4	2	5	5	4	4	4	5	5
17	new_parkrun_298-2M.yuv	2	1	3	1	2	1	2	3	1	2	3	2	1	1	2	1	1	2	3	1	3	2	2	1	1	3	1	2
17	new_parkrun_298-4M.yuv	3	4	4	2	3	3	4	3	3	2	4	2	3	4	4	2	2	3	4	3	3	3	3	3	3	3	3	4
17	new_parkrun_298-6M.yuv	5	4	4	3	4	2	4	4	4	4	5	4	4	4	4	3	2	4	4	4	4	3	4	3	4	4	4	5
17	new_parkrun_298-8M.yuv	4	4	4	3	4	4	4	3	4	4	3	3	3	5	5	4	4	5	5	5	4	5	4	3	4	4	5	5
17	new_parkrun_298-10M.yuv	4	4	5	3	3	4	5	4	4	3	4	4	5	4	5	4	4	4	5	4	4	5	4	5	4	4	5	4
17	new_parkrun_298-14M.yuv	3	4	4	4	4	3	4	3	3	3	5	4	5	4	5	4	3	4	5	4	4	4	4	4	2	5	5	5
17	new_parkrun_298-20M.yuv	4	4	4	4	4	5	5	3	3	5	5	3	4	5	5	4	3	5	5	4	3	5	5	4	4	4	5	4
18	parkrun.yuv	5	5	4	4	4	4	5	5	5	5	5	5	5	4	5	3	4	5	5	4	4	5	5	5	3	4	5	5
18	parkrun-8M.yuv	2	2	3	2	2	1	3	3	1	2	2	2	2	2	3	2	1	2	3	3	2	3	2	2	1	3	4	1
18	parkrun-12M.yuv	3	3	3	3	3	2	4	3	2	2	2	3	2	4	4	2	2	2	3	3	3	3	3	1	1	4	3	2
18	parkrun-16M.yuv	3	4	3	3	3	2	3	4	2	3	3	3	3	2	3	3	3	3	5	3	3	4	3	2	3	4	4	3
18	parkrun-18M.yuv	4	4	4	4	3	4	3	3	2	4	4	4	4	4	4	4	3	4	4	4	4	4	3	2	2	4	3	5
18	parkrun-20M.yuv	3	4	4	4	4	3	4	3	3	3	3	3	3	4	5	2	3	4	5	4	5	4	4	5	3	4	4	3
18	parkrun-24M.yuv	4	5	4	4	4	4	4	4	2	3	5	5	4	4	5	5	3	4	4	4	4	5	4	4	3	4	5	5
18	parkrun-28M.yuv	5	5	5	4	4	5	4	3	4	4	4	4	4	4	4	3	3	4	5	5	4	4	4	4	3	4	4	3
19	rendezvous_250.yuv	5	5	4	4	4	5	5	4	5	5	5	5	5	5	5	4	4	5	5	4	4	5	5	5	5	4	5	5
19	rendezvous_298-4M.yuv	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
19	rendezvous_298-6M.yuv	2	2	2	2	1	1	2	3	1	1	1	2	1	1	1	1	1	2	4	1	2	2	1	1	1	2	2	2
19	rendezvous_298-8M.yuv	2	3	5	3	2	1	3	4	2	4	2	3	2	2	4	2	2	4	5	2	3	3	3	1	1	3	3	3
19	rendezvous_298-10M.yuv	3	4	3	3	4	2	5	3	2	3	3	2	2	5	5	2	2	3	4	4	3	4	3	1	2	3	5	3
19	rendezvous_298-14M.yuv	4	4	4	4	4	3	4	4	3	4	4	4	3	4	4	4	3	4	5	4	4	4	4	3	5	4	4	5
19	rendezvous_298-18M.yuv	4	4	4	5	4	3	5	4	3	4	4	3	3	4	5	4	3	4	5	3	4	5	3	5	5	3	5	5
19	rendezvous_298-24M.yuv	5	5	4	4	5	3	5	5	2	5	5	3	4	5	5	3	4	5	5	4	3	4	4	5	5	3	5	5
20	shields.yuv	5	4	5	4	3	4	5	4	5	5	4	3	4	4	5	5	3	5	5	5	4	5	4	5	2	4	5	4
20	shields-2_25M.yuv	2	2	2	2	1	1	2	2	2	2	2	2	2	2	1	1	1	2	3	4	3	2	1	1	1	3	3	1
20	shields-3M.yuv	2	1	3	3	4	2	3	2	2	2	1	2	2	2	3	2	1	2	3	3	3	3	2	2	1	3	3	2
20	shields-4M.yuv	3	2	3	2	2	2	4	3	2	3	2	2	3	5	4	2	2	3	4	4	5	4	3	2	1	4	3	4
20	shields-5M.yuv	2	4	4	3	4	2	3	4	2	2	4	3	3	3	4	3	2	3	4	5	4	4	4	3	1	4	3	3
20	shields-6M.yuv	3	3	4	3	3	4	5	4	2	4	4	3	3	5	4	2	2	4	4	5	3	4	4	5	2	4	4	4
20	shields-7M.yuv	3	4	4	4	3	4	5	5	2	3	4	3	3	5	5	3	2	5	4	4	5	4	5	4	2	4	4	4
20	shields-8M.yuv	4	4	5	4	3	3	4	4	2	3	4	4	4	5	3	2	2	5	4	4	4	5	4	4	2	5	5	5
21	stockholm_travel_250.yuv	4	5	5	5	4	5	5	5	4	5	5	4	4	5	5	3	4	5	5	3	5	5	5	5	4	4	5	5
21	stockholm_travel_298-1M.yuv	1	1	1	2	2	1	1	2	2	1	1	1	1	1	2	1	1	2	2	1	1	2	1	1	1	3	2	1
21	stockholm_travel_298-4M.yuv	3	4	5	5	5	3	5	4	3	4	4	4	3	4	3	3	3	4	5	5	4	5	4	4	4	5	5	4
21	stockholm_travel_298-6M.yuv	4	4	4	4	4	4	5	5	5	5	5	4	5	5	5	4	3	5	5	5	4	5	4	5	4	5	5	5
21	stockholm_travel_298-8M.yuv	3	5	5	5	4	3	4	3	5	4	5	4	3	4	5	3	4	4	4	4	4	5	4	3	4	4	4	5
21	stockholm_travel_298-10M.yuv	4	4	4	5	5	5	5	5	5	4	5	3	4	5	5	5	4	5	5	5	4	5	5	5	3	5	5	5
21	stockholm_travel_298-16M.yuv	4	4	4	4	4	4	4	5	4	4	5	5	4	5	5	4	3	4	5	4	5	5	4	5	5	5	4	5
21	stockholm_travel_298-20M.yuv	4	4	4	5	4	5	5	5	5	3	5	4	5	5	5	5	4	4	5	4	5	5	5	5	4	5	4	5
22	stockholm.yuv	4	4	4	4	3	3	5	3	4	4	5	5	2	5	5	3	4	5	5	3	3	4	5	3	2	4	5	4
22	stockholm-1_625M.yuv	2	3	2	2	2	1	3	3	2	2	2	2	2	2	2	2	1	3	2	2	2	3	1	1	1	3	3	2
22	stockholm-1_875M.yuv	1	3	2	3	3	1	3	2	2	2	1	2	2	2	2	2	1	2	3	3	2	3	2	2	1	3	2	2
22	stockholm-2_25M.yuv	2	2	3	3	4	2	4	2	2	2	3	3	1	2	3	2	2	3	4	1	3	3	4	3	1	4	3	3
22	stockholm-3M.yuv	3	4	4	3	3	3	3	3	2	3	4	2	3	4	4	3	2	4	4	4	2	4	3	2	1	4	3	3
22	stockholm-3_6M.yuv	3	4	5	4	3	3	3	3	2	3	5	3	2	2	5	3	2	4	5	3	3	4	3	3	1	4	3	3
22	stockholm-4M.yuv	3	5	3	4	2	2	5	2	3	3	4	3	2	3	5	2	2	4	4	4	3	4	4	3	3	4	4	4
22	stockholm-6M.yuv	4	4	4	4	3	3	5	4	2	5	4	3	3	5	5	3	4	4	4	4	4	4	3	4	3	4	4	5
23	tree_pan_250.yuv	3	4	5	4	5	3	5	5	4	4	5	3	5	5	3	5	5	5	5	4	5	5	5	5	3	4	5	4
23	tree_pan_298-1_25M.yuv	1	2	2	2	1	1	2	1	2	1	1	1	2	2	1	1	1	2	3	1	1	2	1	1	1	2	1	1
23	tree_pan_298-1_5M.yuv	2	2	3	2	2	1	3	3	2	2	2	2	2	4	2	3	2	3	4	3	4	3	2	2	1	3	3	2
23	tree_pan_298-2M.yuv	3	3	3	3	3	2	4	2	2	3	3	2	3	5	3	3	3	3	4	3	3	4	2	2	1	4	3	4
23	tree_pan_298-2_5M.yuv	3	4	5	4	4	4	4	4	4	4	4	2	4	5	3	4	2	4	5	4	4	4	3	3	2	4	4	4
23	tree_pan_298-3M.yuv	4	4	4	3	4	4	4	4	2	3	5	3	4	5	5	3	3	5	4	4	4	4	4	5	2	3	5	4
23	tree_pan_298-5M.yuv	4	4	4	4	4	5	5	3	5	5	4	4	5	5	4	4	4	5	5	4	3	5	3	5	4	4	5	5
23	tree_pan_298-8M.yuv	4	4	5	4	3	5	5	4	4	5	5	3	5	5	5	4	4	5	5	5	5	5	4	5	5	4	5	4
24	ulriksdals_250.yuv	5	5	5	4	3	5	5	4	5	4	5	4	5	5	5	4	4	5	5	5	4	5	5	5	5	4	5	5
24	ulriksdals_298-1M.yuv	2	1	2	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	3	1	1
24	ulriksdals_298-2M.yuv	2	2	3	2	3	1	2	2	2	2	2	1	2	2	2	1	1	3	3	2	2	2	3	1	1	2	2	1
24	ulriksdals_298-4M.yuv	3	3	4	4	4	3	4	4	2	4	4	3	3	4	3	3	2	4	4	3	2	4	4	2	4	4	3	3
24	ulriksdals_298-6M.yuv	3	5	4	4	5	3	5	4	4	4	5	3	4	5	4	2	2	4	5	4	3	5	4	4	4	4	4	3
24	ulriksdals_298-8M.yuv	4	2	4	3	4	2	4	4	2	3	4	2	5	4	3	4	3	5	4	4	4	4	3	4	2	4	4	3
24	ulriksdals_298-12M.yuv	3	3	4	4	4	3	4	4	3	4	4	3	3	4	3	3	3	4	4	3	4	4	4	2	3	4	4	4
24	ulriksdals_298-16M.yuv	4	5	4	4	5	5	5	5	4	4	5	4	5	5	5	5	4	5	5	3	4	5	5	5	4	5	5	5
